customer_id,name,age,gender,city,income,spending_score,tenure,monthly_visits,favorite_product,favorite_category,purchase_frequency,churn
34,Customer_34,22,Male,Houston,147219,11,4,21,Watch,Fashion,2,0
35,Customer_35,35,Male,Houston,66216,18,5,15,Laptop,Fashion,9,0
36,Customer_36,41,Female,Houston,84427,88,1,16,Phone,Fashion,10,0
37,Customer_37,30,Female,Dallas,50138,34,3,6,Watch,Fashion,7,0
38,Customer_38,54,Male,Chicago,84908,53,4,25,Phone,Electronics,11,0
39,Customer_39,46,Male,Houston,125071,97,1,2,Laptop,Sports,1,0
40,Customer_40,58,Male,Houston,67132,44,1,8,Laptop,Fashion,9,0
41,Customer_41,53,Male,Chicago,60758,71,2,29,Headphones,Sports,2,0
42,Customer_42,33,Male,New York,34962,86,2,1,Laptop,Electronics,2,0
43,Customer_43,37,Male,New York,75653,93,5,1,Shoes,Sports,18,0
44,Customer_44,60,Female,Houston,31499,80,6,16,Watch,Electronics,7,0
45,Customer_45,20,Female,Chicago,45036,75,2,19,Phone,Electronics,12,0
46,Customer_46,25,Female,Chicago,119442,58,9,17,Shoes,Electronics,9,0
47,Customer_47,24,Female,Houston,61936,76,1,17,Headphones,Electronics,19,0
48,Customer_48,32,Male,New York,25124,26,4,12,Headphones,Fashion,17,0
49,Customer_49,19,Male,Chicago,75331,49,7,29,Headphones,Sports,12,0
50,Customer_50,56,Female,New York,52340,1,1,25,Headphones,Fashion,11,0
51,Customer_51,21,Male,New York,70749,71,6,29,Headphones,Electronics,18,0
52,Customer_52,35,Female,New York,113417,95,9,29,Laptop,Electronics,8,0
53,Customer_53,59,Female,New York,141638,85,9,5,Watch,Fashion,6,0
54,Customer_54,48,Male,Houston,110924,33,7,3,Phone,Fashion,3,0
55,Customer_55,18,Female,Houston,61293,6,5,12,Watch,Electronics,19,0
56,Customer_56,38,Male,Chicago,114409,85,3,23,Watch,Sports,4,0
57,Customer_57,45,Male,Los Angeles,118693,64,2,7,Shoes,Electronics,19,0
58,Customer_58,54,Male,Dallas,78705,68,6,5,Headphones,Electronics,6,0
59,Customer_59,39,Male,Houston,141465,76,9,19,Phone,Sports,8,0
60,Customer_60,38,Female,Los Angeles,148125,6,4,22,Laptop,Fashion,18,0
61,Customer_61,60,Female,Dallas,143193,88,4,11,Phone,Fashion,14,0
62,Customer_62,62,Male,Houston,22242,25,2,16,Shoes,Fashion,11,0
63,Customer_63,48,Female,Dallas,63125,17,8,14,Laptop,Sports,13,0
64,Customer_64,25,Female,Houston,32423,56,8,8,Laptop,Sports,5,0
65,Customer_65,49,Female,Chicago,71806,18,8,3,Watch,Sports,15,1
66,Customer_66,28,Male,Los Angeles,77183,37,6,15,Watch,Sports,4,0
67,Customer_67,44,Female,Chicago,107320,15,5,23,Laptop,Fashion,13,0
68,Customer_68,48,Female,Los Angeles,148093,71,3,16,Headphones,Sports,8,0
69,Customer_69,62,Female,New York,46068,95,6,15,Headphones,Sports,14,0
70,Customer_70,42,Female,Houston,115239,6,5,22,Shoes,Sports,2,0
71,Customer_71,36,Male,New York,148156,60,1,12,Phone,Fashion,13,0
72,Customer_72,24,Female,Los Angeles,68115,80,8,11,Watch,Electronics,1,0
73,Customer_73,63,Male,Chicago,119997,40,9,14,Laptop,Fashion,16,0
74,Customer_74,59,Male,Chicago,32035,20,4,12,Shoes,Electronics,11,0
75,Customer_75,46,Male,Los Angeles,27289,15,8,5,Headphones,Fashion,19,0
76,Customer_76,18,Female,Los Angeles,57523,53,3,19,Phone,Fashion,3,0
77,Customer_77,22,Female,New York,74141,91,1,16,Laptop,Electronics,5,0
78,Customer_78,36,Female,Chicago,118783,27,8,6,Watch,Electronics,10,0
79,Customer_79,40,Female,Dallas,74969,83,1,3,Phone,Fashion,9,0
80,Customer_80,62,Female,Dallas,145259,52,7,15,Laptop,Sports,9,0
81,Customer_81,38,Female,New York,90370,98,4,28,Watch,Fashion,15,0
82,Customer_82,46,Female,Chicago,54761,65,4,1,Laptop,Fashion,16,0
83,Customer_83,31,Male,Los Angeles,84045,62,6,20,Headphones,Sports,9,0
84,Customer_84,23,Female,Chicago,98655,46,7,28,Headphones,Sports,13,0
85,Customer_85,18,Female,New York,88774,76,5,9,Watch,Fashion,10,0
86,Customer_86,44,Female,Chicago,140543,10,5,13,Shoes,Electronics,11,0
87,Customer_87,59,Female,Chicago,61776,68,6,28,Phone,Electronics,1,0
88,Customer_88,47,Male,Chicago,55814,38,2,13,Headphones,Electronics,12,0
89,Customer_89,21,Male,New York,61364,17,5,22,Laptop,Fashion,14,0
90,Customer_90,63,Female,Los Angeles,134086,91,3,1,Shoes,Electronics,16,0
91,Customer_91,24,Male,Dallas,122582,35,9,27,Phone,Electronics,15,0
92,Customer_92,30,Female,New York,85798,66,6,14,Shoes,Fashion,3,0
93,Customer_93,62,Male,Houston,67381,28,5,29,Watch,Electronics,13,0
94,Customer_94,21,Female,Los Angeles,138539,14,9,20,Phone,Fashion,8,0
95,Customer_95,49,Female,Los Angeles,117249,69,7,14,Watch,Fashion,8,0
96,Customer_96,44,Female,Los Angeles,40771,6,6,15,Shoes,Electronics,18,0
97,Customer_97,24,Male,Los Angeles,43061,13,4,6,Shoes,Fashion,3,0
98,Customer_98,51,Male,Houston,105242,48,1,28,Laptop,Electronics,12,0
99,Customer_99,24,Female,Houston,53252,86,3,19,Shoes,Fashion,8,0
100,Customer_100,21,Female,Dallas,103876,93,1,16,Shoes,Fashion,1,0
101,Customer_101,29,Female,Los Angeles,123229,94,9,14,Shoes,Sports,12,0
102,Customer_102,58,Male,Chicago,60087,44,6,16,Headphones,Fashion,4,0
103,Customer_103,42,Female,Dallas,79275,28,5,28,Watch,Fashion,5,0
104,Customer_104,40,Male,Chicago,149964,61,8,13,Phone,Sports,2,0
105,Customer_105,64,Male,Chicago,134065,29,3,10,Shoes,Fashion,11,0
106,Customer_106,24,Male,New York,58434,61,9,28,Laptop,Fashion,13,0
107,Customer_107,43,Male,New York,89743,12,4,5,Watch,Electronics,19,0
108,Customer_108,43,Female,Los Angeles,100254,53,7,18,Watch,Sports,18,0
109,Customer_109,29,Male,New York,131967,2,3,9,Watch,Fashion,13,0
110,Customer_110,39,Male,Los Angeles,70871,57,4,20,Shoes,Sports,15,0
111,Customer_111,27,Female,Dallas,146195,79,4,17,Phone,Sports,6,0
112,Customer_112,23,Female,Houston,94842,53,7,6,Laptop,Sports,14,0
113,Customer_113,52,Female,Houston,138261,11,9,9,Laptop,Fashion,13,0
114,Customer_114,55,Male,New York,86246,44,2,27,Headphones,Sports,15,0
115,Customer_115,32,Female,Houston,137141,55,8,26,Watch,Electronics,15,0
116,Customer_116,25,Female,Houston,44533,94,2,22,Phone,Sports,10,0
117,Customer_117,49,Male,Houston,52478,86,6,10,Headphones,Fashion,13,0
118,Customer_118,53,Male,New York,102307,18,5,17,Shoes,Electronics,1,0
119,Customer_119,47,Male,Chicago,84422,4,2,3,Headphones,Electronics,2,1
120,Customer_120,22,Female,New York,133868,23,5,9,Laptop,Electronics,1,0
121,Customer_121,52,Female,Los Angeles,139115,93,8,2,Phone,Electronics,18,0
122,Customer_122,45,Female,Los Angeles,97162,86,7,9,Laptop,Sports,15,0
123,Customer_123,59,Female,New York,37364,19,8,11,Laptop,Fashion,15,0
124,Customer_124,61,Female,New York,127474,48,7,20,Headphones,Fashion,7,0
125,Customer_125,20,Male,Chicago,149245,1,9,8,Headphones,Electronics,19,0
126,Customer_126,41,Female,Dallas,65206,8,6,18,Shoes,Electronics,7,0
127,Customer_127,35,Female,New York,64541,68,1,3,Shoes,Fashion,13,0
128,Customer_128,20,Female,New York,87575,85,4,17,Watch,Fashion,9,0
129,Customer_129,50,Female,Los Angeles,132186,53,2,21,Watch,Fashion,16,0
130,Customer_130,42,Male,New York,101213,62,7,13,Phone,Electronics,13,0
131,Customer_131,55,Male,Chicago,55653,35,6,14,Laptop,Sports,12,0
132,Customer_132,25,Female,Chicago,42081,72,8,21,Headphones,Sports,18,0
133,Customer_133,25,Female,Dallas,139022,46,4,10,Watch,Sports,5,0
134,Customer_134,39,Female,Dallas,57481,98,5,8,Watch,Electronics,4,0
135,Customer_135,32,Female,Los Angeles,85107,39,7,18,Laptop,Fashion,7,0
136,Customer_136,35,Male,New York,107281,25,5,28,Phone,Electronics,13,0
137,Customer_137,55,Female,Dallas,97027,83,5,18,Phone,Fashion,19,0
138,Customer_138,46,Female,Houston,70909,85,5,1,Phone,Electronics,6,0
139,Customer_139,42,Female,Dallas,84091,77,2,16,Phone,Sports,7,0
140,Customer_140,18,Female,Los Angeles,22086,7,1,24,Shoes,Electronics,13,0
141,Customer_141,56,Female,Dallas,111343,76,4,6,Headphones,Sports,4,0
142,Customer_142,26,Male,New York,20436,76,1,7,Laptop,Electronics,12,0
143,Customer_143,50,Female,New York,22696,21,9,10,Watch,Sports,8,0
144,Customer_144,24,Male,Chicago,78145,67,5,12,Shoes,Electronics,19,0
145,Customer_145,62,Male,New York,52686,60,6,10,Watch,Electronics,1,0
146,Customer_146,20,Male,New York,50019,51,3,6,Laptop,Sports,11,0
147,Customer_147,50,Male,New York,46804,96,7,27,Laptop,Electronics,8,0
148,Customer_148,52,Male,Dallas,82777,25,8,25,Watch,Fashion,1,0
149,Customer_149,53,Male,Los Angeles,149618,37,3,22,Laptop,Sports,6,0
150,Customer_150,38,Male,Dallas,31582,74,4,2,Headphones,Fashion,16,0
151,Customer_151,64,Male,Houston,91978,83,1,27,Headphones,Fashion,2,0
152,Customer_152,39,Male,Houston,20245,16,1,9,Laptop,Electronics,14,0
153,Customer_153,25,Female,Dallas,36678,58,1,13,Phone,Fashion,1,0
154,Customer_154,18,Male,Chicago,78559,75,1,16,Shoes,Sports,14,0
155,Customer_155,19,Male,Dallas,98917,45,5,26,Laptop,Fashion,17,0
156,Customer_156,18,Male,Los Angeles,87338,49,7,28,Laptop,Fashion,1,0
157,Customer_157,44,Female,Los Angeles,149735,23,5,27,Laptop,Electronics,10,0
158,Customer_158,22,Male,Los Angeles,124041,96,3,18,Laptop,Electronics,11,0
159,Customer_159,38,Male,New York,79142,18,6,26,Headphones,Electronics,13,0
160,Customer_160,45,Female,Dallas,39455,78,4,10,Headphones,Electronics,8,0
161,Customer_161,45,Female,Chicago,100816,90,8,7,Shoes,Electronics,18,0
162,Customer_162,46,Female,New York,49615,67,3,19,Shoes,Sports,15,0
163,Customer_163,36,Female,Los Angeles,75564,9,9,19,Shoes,Sports,3,0
164,Customer_164,46,Male,Houston,84849,2,5,16,Phone,Fashion,12,0
165,Customer_165,52,Male,New York,33898,52,1,19,Shoes,Electronics,13,0
166,Customer_166,60,Female,Dallas,129919,29,3,27,Watch,Electronics,3,0
167,Customer_167,32,Female,Los Angeles,96009,18,9,16,Laptop,Fashion,11,0
168,Customer_168,43,Female,Los Angeles,104024,18,8,14,Headphones,Sports,3,0
169,Customer_169,51,Male,Chicago,141322,88,3,24,Shoes,Sports,14,0
170,Customer_170,23,Female,Dallas,83712,42,2,19,Phone,Sports,6,0
171,Customer_171,57,Male,New York,141204,34,3,17,Phone,Fashion,7,0
172,Customer_172,41,Male,Houston,51476,29,6,13,Watch,Electronics,16,0
173,Customer_173,18,Female,Chicago,86191,19,1,27,Headphones,Fashion,10,0
174,Customer_174,45,Male,Chicago,49672,80,5,14,Phone,Fashion,6,0
175,Customer_175,35,Male,New York,23734,31,2,11,Shoes,Fashion,18,0
176,Customer_176,40,Male,Los Angeles,109865,36,3,25,Phone,Fashion,2,0
177,Customer_177,45,Male,Los Angeles,102937,77,6,10,Phone,Electronics,3,0
178,Customer_178,53,Male,Chicago,145092,51,6,26,Laptop,Electronics,19,0
179,Customer_179,49,Female,Houston,79327,22,7,13,Phone,Sports,16,0
180,Customer_180,40,Female,Los Angeles,128970,29,5,1,Shoes,Sports,17,1
181,Customer_181,19,Male,Houston,94307,13,1,12,Phone,Electronics,19,0
182,Customer_182,61,Male,Los Angeles,25946,29,8,22,Phone,Fashion,13,0
183,Customer_183,29,Female,Chicago,95423,44,3,23,Phone,Fashion,8,0
184,Customer_184,46,Female,Houston,65505,55,2,5,Laptop,Sports,1,0
185,Customer_185,24,Male,Chicago,113129,38,7,28,Phone,Electronics,11,0
186,Customer_186,29,Female,Los Angeles,149743,47,1,13,Laptop,Sports,18,0
187,Customer_187,39,Male,Dallas,56944,22,1,11,Watch,Sports,1,0
188,Customer_188,63,Male,Houston,40871,53,1,3,Shoes,Sports,15,0
189,Customer_189,63,Male,Chicago,95600,9,5,21,Laptop,Sports,17,0
190,Customer_190,39,Female,Houston,130495,86,1,16,Phone,Electronics,3,0
191,Customer_191,64,Female,Chicago,57194,50,4,27,Headphones,Fashion,15,0
192,Customer_192,46,Male,Dallas,116398,65,3,7,Watch,Sports,16,0
193,Customer_193,41,Female,Dallas,64054,16,5,27,Phone,Sports,5,0
194,Customer_194,52,Male,Houston,93719,77,6,3,Shoes,Sports,13,0
195,Customer_195,30,Male,Chicago,39610,66,5,29,Shoes,Electronics,19,0
196,Customer_196,38,Female,Chicago,131417,85,2,11,Headphones,Fashion,2,0
197,Customer_197,39,Female,Houston,133250,46,9,29,Shoes,Sports,19,0
198,Customer_198,57,Male,Chicago,47419,81,2,18,Shoes,Sports,9,0
199,Customer_199,56,Female,Chicago,32556,96,1,29,Laptop,Sports,13,0
200,Customer_200,27,Female,Los Angeles,64617,88,2,3,Headphones,Sports,2,0
201,Customer_201,46,Male,Chicago,76261,79,1,1,Laptop,Sports,18,0
202,Customer_202,19,Male,Chicago,48897,32,3,20,Headphones,Electronics,17,0
203,Customer_203,50,Female,Dallas,60718,77,6,11,Laptop,Sports,7,0
204,Customer_204,62,Female,Houston,137695,24,8,16,Headphones,Electronics,8,0
205,Customer_205,29,Male,New York,60104,33,8,20,Shoes,Electronics,15,0
206,Customer_206,50,Female,Los Angeles,48166,49,6,6,Headphones,Fashion,10,0
207,Customer_207,53,Male,Dallas,92716,41,1,14,Shoes,Fashion,8,0
208,Customer_208,40,Female,Los Angeles,82586,1,5,7,Phone,Sports,6,0
209,Customer_209,24,Male,Los Angeles,71665,19,2,27,Phone,Electronics,4,0
210,Customer_210,45,Male,Houston,93016,6,7,3,Headphones,Fashion,15,1
211,Customer_211,50,Male,New York,28886,65,1,9,Shoes,Electronics,11,0
212,Customer_212,40,Male,New York,82614,11,5,2,Laptop,Sports,19,1
213,Customer_213,62,Female,Houston,118246,3,6,5,Laptop,Fashion,11,0
214,Customer_214,56,Female,New York,87710,90,1,4,Shoes,Sports,10,0
215,Customer_215,20,Female,Los Angeles,142438,38,8,15,Laptop,Electronics,8,0
216,Customer_216,21,Female,Chicago,60719,55,8,13,Watch,Fashion,9,0
217,Customer_217,30,Female,Chicago,41153,92,4,9,Watch,Fashion,3,0
218,Customer_218,31,Male,Dallas,120154,26,6,18,Headphones,Electronics,9,0
219,Customer_219,46,Female,Houston,52534,82,7,17,Shoes,Sports,1,0
220,Customer_220,45,Male,Dallas,139081,87,2,6,Shoes,Electronics,7,0
221,Customer_221,30,Female,New York,105685,68,1,25,Shoes,Sports,2,0
222,Customer_222,35,Female,Dallas,29876,75,6,23,Phone,Fashion,4,0
223,Customer_223,22,Female,Houston,26865,86,3,8,Phone,Sports,4,0
224,Customer_224,57,Male,Dallas,54463,59,7,12,Headphones,Fashion,3,0
225,Customer_225,63,Female,Los Angeles,76401,88,1,8,Watch,Fashion,9,0
226,Customer_226,20,Male,New York,85947,24,8,13,Watch,Electronics,12,0
227,Customer_227,42,Male,Dallas,120381,7,3,16,Watch,Fashion,5,0
228,Customer_228,32,Male,Los Angeles,128138,69,5,16,Shoes,Sports,18,0
229,Customer_229,41,Female,Dallas,60190,88,9,28,Phone,Electronics,12,0
230,Customer_230,29,Female,New York,41891,23,7,21,Watch,Electronics,11,0
231,Customer_231,25,Male,Chicago,58193,45,9,23,Watch,Fashion,5,0
232,Customer_232,55,Male,Houston,81444,3,3,1,Headphones,Sports,18,1
233,Customer_233,40,Male,Dallas,46011,16,8,16,Watch,Sports,10,0
234,Customer_234,60,Male,Los Angeles,145007,86,1,6,Phone,Electronics,1,0
235,Customer_235,33,Female,Houston,63717,64,8,7,Laptop,Sports,11,0
236,Customer_236,59,Male,Chicago,103230,13,9,26,Watch,Fashion,11,0
237,Customer_237,45,Female,New York,23260,16,2,5,Shoes,Fashion,2,0
238,Customer_238,25,Male,Dallas,127029,55,8,19,Headphones,Electronics,14,0
239,Customer_239,20,Female,Dallas,122630,57,7,9,Headphones,Sports,16,0
240,Customer_240,54,Male,Los Angeles,63389,28,1,22,Laptop,Sports,7,0
241,Customer_241,18,Female,Houston,39730,26,1,16,Laptop,Electronics,3,0
242,Customer_242,46,Male,Los Angeles,90607,21,2,17,Laptop,Fashion,7,0
243,Customer_243,64,Female,New York,57972,60,5,8,Headphones,Electronics,11,0
244,Customer_244,27,Female,Chicago,109990,81,4,28,Headphones,Sports,4,0
245,Customer_245,57,Male,Houston,105821,50,2,24,Headphones,Electronics,15,0
246,Customer_246,37,Male,Houston,138736,13,5,20,Watch,Electronics,12,0
247,Customer_247,43,Male,Chicago,37157,2,6,11,Watch,Fashion,17,0
248,Customer_248,58,Female,Houston,145712,18,2,1,Watch,Electronics,6,1
249,Customer_249,34,Female,Dallas,47396,29,2,6,Watch,Sports,9,0
250,Customer_250,32,Female,Houston,41425,63,4,8,Phone,Electronics,4,0
251,Customer_251,29,Female,Los Angeles,79230,84,2,20,Headphones,Electronics,1,0
252,Customer_252,24,Female,Los Angeles,145214,12,5,27,Watch,Sports,14,0
253,Customer_253,35,Male,New York,129864,87,3,12,Phone,Electronics,16,0
254,Customer_254,35,Female,Dallas,104225,35,7,14,Headphones,Fashion,13,0
255,Customer_255,62,Female,New York,122048,43,4,13,Shoes,Sports,16,0
256,Customer_256,59,Male,Los Angeles,132229,81,8,1,Laptop,Fashion,18,0
257,Customer_257,58,Male,Dallas,30997,69,1,2,Laptop,Fashion,1,0
258,Customer_258,58,Female,Chicago,86606,9,3,19,Headphones,Electronics,13,0
259,Customer_259,48,Male,Los Angeles,105125,29,7,15,Headphones,Electronics,9,0
260,Customer_260,43,Female,Los Angeles,139884,41,5,22,Phone,Electronics,16,0
261,Customer_261,54,Female,Dallas,116718,61,1,19,Shoes,Fashion,15,0
262,Customer_262,58,Male,New York,29727,46,8,12,Laptop,Electronics,10,0
263,Customer_263,21,Male,Dallas,57235,53,1,16,Laptop,Fashion,4,0
264,Customer_264,35,Male,Chicago,89876,16,5,26,Watch,Fashion,13,0
265,Customer_265,21,Male,Los Angeles,35811,48,1,10,Headphones,Sports,18,0
266,Customer_266,32,Female,Dallas,142255,32,2,27,Watch,Electronics,7,0
267,Customer_267,36,Male,Houston,69126,12,9,16,Laptop,Sports,12,0
268,Customer_268,41,Male,Chicago,137961,44,2,7,Watch,Fashion,17,0
269,Customer_269,43,Female,Dallas,67341,82,9,29,Headphones,Sports,7,0
270,Customer_270,30,Female,New York,44093,34,9,12,Watch,Electronics,13,0
271,Customer_271,32,Female,Los Angeles,60448,99,4,4,Watch,Electronics,5,0
272,Customer_272,26,Male,New York,115127,45,9,7,Phone,Electronics,1,0
273,Customer_273,60,Male,Los Angeles,52057,12,5,7,Watch,Sports,11,0
274,Customer_274,18,Female,Chicago,76805,51,5,8,Headphones,Sports,5,0
275,Customer_275,62,Male,Houston,29355,14,6,10,Watch,Sports,6,0
276,Customer_276,31,Female,Houston,28362,89,5,9,Headphones,Sports,5,0
277,Customer_277,25,Female,New York,25378,93,3,25,Laptop,Sports,1,0
278,Customer_278,52,Female,Los Angeles,91659,95,9,3,Headphones,Fashion,12,0
279,Customer_279,21,Male,Chicago,116186,42,3,8,Shoes,Sports,7,0
280,Customer_280,55,Female,Houston,97537,97,7,4,Watch,Sports,10,0
281,Customer_281,19,Male,Chicago,52833,95,5,14,Watch,Electronics,9,0
282,Customer_282,21,Male,Chicago,127258,58,7,2,Headphones,Electronics,8,0
283,Customer_283,51,Male,New York,80944,88,5,29,Laptop,Electronics,2,0
284,Customer_284,21,Female,New York,35952,94,7,8,Phone,Sports,15,0
285,Customer_285,54,Female,Chicago,98368,86,8,27,Watch,Sports,15,0
286,Customer_286,20,Female,Chicago,33663,74,2,28,Phone,Sports,5,0
287,Customer_287,60,Male,Houston,21205,12,4,4,Laptop,Sports,4,1
288,Customer_288,38,Male,New York,31522,10,1,25,Shoes,Sports,12,0
289,Customer_289,34,Female,Dallas,83191,21,2,29,Headphones,Electronics,7,0
290,Customer_290,47,Male,Dallas,20550,28,8,6,Phone,Fashion,12,0
291,Customer_291,62,Female,Los Angeles,65830,61,2,16,Watch,Electronics,9,0
292,Customer_292,53,Male,Houston,145755,93,5,5,Watch,Fashion,11,0
293,Customer_293,35,Male,Houston,114550,81,8,19,Headphones,Sports,4,0
294,Customer_294,21,Male,Chicago,53105,46,1,25,Phone,Electronics,5,0
295,Customer_295,30,Male,Los Angeles,21705,10,7,17,Laptop,Fashion,10,0
296,Customer_296,18,Female,New York,63083,27,4,25,Headphones,Fashion,8,0
297,Customer_297,21,Male,Los Angeles,125539,33,1,11,Headphones,Electronics,17,0
298,Customer_298,27,Male,Chicago,70601,32,1,23,Watch,Electronics,12,0
299,Customer_299,29,Female,Chicago,98003,35,9,12,Laptop,Electronics,6,0
300,Customer_300,31,Male,Chicago,25355,61,8,13,Watch,Sports,3,0
301,Customer_301,44,Female,Los Angeles,67745,52,4,20,Shoes,Electronics,9,0
302,Customer_302,59,Male,Houston,109169,33,6,18,Watch,Sports,4,0
303,Customer_303,32,Male,Houston,143962,56,2,20,Headphones,Sports,18,0
304,Customer_304,33,Female,Los Angeles,114247,40,5,14,Phone,Fashion,12,0
305,Customer_305,50,Female,Houston,41933,51,8,2,Headphones,Sports,9,0
306,Customer_306,25,Female,Dallas,130130,88,6,2,Laptop,Sports,14,0
307,Customer_307,33,Male,Dallas,65627,48,8,5,Shoes,Fashion,9,0
308,Customer_308,37,Male,Los Angeles,55287,48,2,4,Watch,Electronics,1,0
309,Customer_309,18,Male,Houston,112762,63,5,18,Laptop,Fashion,9,0
310,Customer_310,43,Male,Chicago,123139,12,2,29,Phone,Electronics,10,0
311,Customer_311,53,Male,Chicago,121507,88,3,12,Phone,Sports,7,0
312,Customer_312,33,Female,Dallas,75105,14,6,26,Phone,Fashion,18,0
313,Customer_313,53,Female,Chicago,110028,10,5,20,Watch,Sports,12,0
314,Customer_314,34,Female,Los Angeles,60259,88,9,16,Laptop,Fashion,14,0
315,Customer_315,59,Female,Chicago,109836,3,8,22,Headphones,Sports,16,0
316,Customer_316,55,Female,Chicago,85803,36,8,4,Shoes,Electronics,14,0
317,Customer_317,36,Female,New York,28894,32,4,15,Phone,Fashion,11,0
318,Customer_318,40,Male,New York,84192,44,8,8,Shoes,Electronics,16,0
319,Customer_319,25,Female,New York,128287,88,7,13,Shoes,Sports,19,0
320,Customer_320,47,Female,Los Angeles,37809,82,7,4,Shoes,Electronics,15,0
321,Customer_321,47,Male,Los Angeles,71421,95,4,10,Shoes,Sports,16,0
322,Customer_322,61,Female,Houston,86993,30,3,8,Watch,Fashion,19,0
323,Customer_323,40,Male,Dallas,104705,97,1,29,Headphones,Sports,1,0
324,Customer_324,61,Male,Los Angeles,130861,91,2,23,Watch,Fashion,19,0
325,Customer_325,55,Female,Chicago,48075,25,2,5,Phone,Electronics,9,0
326,Customer_326,39,Female,Chicago,111610,77,4,8,Watch,Sports,8,0
327,Customer_327,45,Male,Houston,99610,8,1,11,Laptop,Fashion,15,0
328,Customer_328,56,Female,New York,86819,24,2,6,Laptop,Fashion,4,0
329,Customer_329,19,Female,Dallas,101839,71,4,6,Shoes,Sports,19,0
330,Customer_330,52,Female,New York,76419,37,1,22,Laptop,Fashion,16,0
331,Customer_331,52,Male,New York,107452,10,6,7,Headphones,Electronics,6,0
332,Customer_332,24,Male,Dallas,44715,79,9,26,Watch,Electronics,9,0
333,Customer_333,44,Female,Dallas,123567,42,2,28,Watch,Fashion,8,0
334,Customer_334,41,Female,Houston,117780,73,7,13,Phone,Electronics,8,0
335,Customer_335,37,Female,Los Angeles,73293,87,8,22,Laptop,Electronics,19,0
336,Customer_336,63,Male,New York,137212,13,7,16,Phone,Electronics,7,0
337,Customer_337,60,Male,Chicago,62902,84,9,5,Laptop,Fashion,18,0
338,Customer_338,41,Male,Chicago,112183,52,8,5,Watch,Fashion,6,0
339,Customer_339,59,Male,Dallas,80192,90,7,27,Headphones,Sports,16,0
340,Customer_340,62,Female,Chicago,147922,4,2,25,Shoes,Electronics,13,0
341,Customer_341,44,Female,Los Angeles,135214,89,1,16,Laptop,Electronics,2,0
342,Customer_342,22,Male,Houston,101282,7,7,18,Watch,Sports,13,0
343,Customer_343,48,Male,Dallas,57691,34,4,17,Laptop,Fashion,16,0
344,Customer_344,59,Male,New York,74230,4,2,1,Laptop,Electronics,17,1
345,Customer_345,42,Male,Houston,64125,1,1,13,Laptop,Electronics,17,0
346,Customer_346,30,Female,New York,117687,78,1,5,Headphones,Sports,14,0
